Order ID,Order Date,Customer ID,Product ID,Quantity
AAQ-13644-699,2019-09-05,17670-51384-MA,R-D-1,4.0
ABK-08091-531,2019-09-05,17670-51384-MA,L-L-1,3.0
ABO-29054-365,2021-06-17,21125-22134-PX,A-M-0.5,6.0
ACY-56225-839,2021-07-15,23806-46781-OU,A-M-2.5,3.0
ADP-04506-084,2021-07-15,23806-46781-OU,E-M-2.5,6.0
ADX-50674-975,2021-08-04,86561-91660-RB,A-M-2.5,4.0
AEL-51169-725,2022-01-21,65223-29612-CB,L-M-0.2,6.0
AEZ-13242-456,2022-05-20,21134-81676-FR,R-M-0.5,5.0
AGQ-06534-750,2019-01-02,03396-68805-ZC,A-L-1,5.0
AHQ-40440-522,2019-09-05,61021-27840-ZN,A-D-1,1.0
AHV-66988-037,2021-03-08,76239-90137-UQ,R-M-2.5,2.0
AHY-20324-088,2020-10-28,49315-21985-BB,L-L-0.2,2.0
AIA-98989-755,2022-07-02,34136-36674-OM,R-M-0.2,1.0
AJL-52941-018,2020-05-22,39396-12890-PE,E-D-1,2.0
AJV-18231-334,2022-04-05,95875-73336-RG,R-D-2.5,2.0
AKV-93064-769,2022-06-07,25473-43727-BY,L-D-0.5,1.0
ALA-62598-016,2019-03-20,99643-51048-IQ,R-D-0.2,6.0
ALM-80762-974,2019-10-19,62173-15287-CU,A-L-0.5,3.0
ALP-37623-536,2019-06-13,57611-05522-ST,L-L-1,6.0
ALR-62963-723,2020-12-04,76664-37050-DT,R-D-0.2,3.0
AMB-93600-000,2020-12-04,76664-37050-DT,A-L-2.5,1.0
AMM-79521-378,2020-12-04,03090-88267-BQ,A-D-0.5,6.0
AMT-40418-362,2021-01-22,37651-47492-NC,L-D-1,1.0
ANK-59436-446,2022-02-11,95399-57205-HI,E-L-0.5,4.0
ANM-16388-634,2021-09-15,24010-66714-HW,L-L-0.2,2.0
AOL-13866-711,2020-10-24,07591-92789-UA,E-M-1,4.0
AOT-70449-651,2019-02-20,49231-44455-IC,R-D-2.5,5.0
AOX-44467-109,2019-10-08,50124-88608-EO,A-D-2.5,1.0
ASG-27179-958,2022-08-02,00888-74814-UZ,A-M-0.5,3.0
ASS-05878-128,2019-02-20,14158-30713-OB,E-L-0.5,2.0
ATY-28980-884,2021-09-25,51427-89175-QJ,A-L-0.2,6.0
AUP-10128-606,2021-09-25,51427-89175-QJ,A-M-0.5,1.0
AVH-56062-335,2021-09-25,51427-89175-QJ,E-M-0.5,5.0
AVK-76526-953,2021-07-17,39123-12846-YJ,A-D-1,2.0
AWH-16980-469,2020-06-29,44981-99666-XB,L-M-0.2,6.0
AWP-11469-510,2021-06-01,24825-51803-CQ,E-D-1,2.0
AWT-22827-563,2021-02-06,77634-13918-GJ,R-L-0.2,1.0
AXN-57779-891,2019-04-25,13694-25001-LX,R-M-0.2,3.0
AXR-10962-010,2020-04-25,08523-01791-TI,E-D-1,2.0
AYY-83051-752,2021-11-24,49860-68865-AB,L-L-1,6.0
AZF-45991-584,2021-04-19,21240-83132-SP,A-D-2.5,1.0
BAF-42286-205,2022-07-07,08350-81623-TF,R-M-2.5,4.0
BAQ-74241-156,2019-05-22,73284-01385-SJ,R-D-0.2,4.0
BDM-03174-485,2021-10-04,04152-34436-IE,R-L-0.5,4.0
BGB-67996-089,2020-04-11,06631-86965-XP,R-D-1,5.0
BHA-47429-889,2022-01-31,54619-08558-ZU,E-L-0.2,3.0
BIU-21970-705,2019-11-07,85589-17020-CX,R-M-2.5,2.0
BKK-47233-845,2019-06-28,36078-91009-WU,A-D-1,4.0
BLD-12227-251,2020-09-11,15770-27099-GX,A-M-0.5,2.0
BLI-21697-702,2022-08-17,91460-04823-BX,A-M-0.5,2.0
BLQ-03709-265,2022-08-19,45089-52817-WN,R-L-0.2,3.0
BLQ-03709-265,2019-05-15,76447-50326-IC,R-M-0.2,5.0
BLV-60087-454,2019-09-11,26333-67911-OL,A-M-0.5,5.0
BLV-60087-454,2019-09-11,26333-67911-OL,E-L-0.2,3.0
BMK-49520-383,2021-03-16,22107-86640-SB,R-L-0.2,3.0
BMM-86471-923,2020-12-03,09960-34242-LZ,L-D-2.5,1.0
BNQ-88920-567,2020-01-27,04671-85591-RT,L-D-0.2,6.0
BNZ-20544-633,2022-07-17,25729-68859-UA,L-L-0.5,4.0
BOR-02906-411,2022-03-04,05501-86351-NX,L-D-2.5,6.0
BPC-54727-307,2021-12-07,04521-04300-OK,R-L-1,4.0
BPG-68988-842,2021-02-25,58689-55264-VK,E-M-0.5,5.0
BPT-83989-157,2019-02-25,79436-73011-MM,A-M-2.5,2.0
BPZ-51283-916,2019-02-09,65552-60476-KY,A-M-2.5,2.0
BQI-61647-496,2020-02-07,69904-02729-YS,E-M-1,5.0
BQJ-44755-910,2020-03-23,01433-04270-AX,E-D-2.5,6.0
BQK-38412-229,2022-03-06,14204-14186-LA,R-L-0.2,3.0
BRB-40903-533,2022-04-15,32948-34398-HC,E-L-0.2,3.0
BRJ-19414-277,2021-11-19,77343-52608-FF,R-M-0.2,4.0
BRV-64870-915,2019-10-16,42770-36274-QA,L-L-2.5,5.0
BVU-77367-451,2019-11-26,14103-58987-ZU,A-D-1,5.0
BWK-39400-446,2019-06-30,69958-32065-SW,L-D-0.5,4.0
BWR-85735-955,2021-01-04,69533-84907-FA,L-M-1,3.0
BWZ-46364-547,2020-10-27,76005-95461-CI,R-L-1,3.0
BXH-62195-013,2021-06-15,15395-90855-VB,A-M-1,4.0
BXN-64230-789,2021-07-19,80640-45811-LB,A-L-1,2.0
BYP-16005-016,2021-07-23,28476-04082-GR,R-M-2.5,5.0
BYU-58154-603,2020-01-25,12018-75670-EU,E-D-0.5,4.0
BYZ-39669-954,2019-05-09,86437-17399-FK,L-L-2.5,1.0
BZE-96093-118,2020-03-30,62979-53167-ML,L-M-0.2,2.0
BZP-33213-637,2022-03-13,54810-81899-HL,A-M-2.5,3.0
CBT-15092-420,2019-04-17,26103-41504-IB,L-M-0.5,1.0
CBT-55781-720,2019-10-25,76534-45229-SG,E-D-0.5,3.0
CCZ-19589-212,2019-09-13,81744-27332-RR,L-M-0.2,2.0
CFZ-53492-600,2020-04-12,91513-75657-PH,L-M-0.2,1.0
CGO-79583-871,2019-11-14,30373-66619-CB,E-D-0.5,1.0
CHE-78995-767,2019-07-18,31582-23562-FM,A-D-0.5,3.0
CIX-22904-641,2019-07-18,31582-23562-FM,R-M-1,1.0
CKF-43291-846,2021-04-03,81431-12577-VD,E-L-2.5,1.0
CKS-47815-571,2021-03-29,68894-91205-MP,L-L-0.5,3.0
CLJ-23403-689,2021-12-15,87602-55754-VN,R-L-1,2.0
CNJ-56058-223,2020-05-20,39181-35745-WH,L-L-0.5,3.0
CNY-06284-066,2020-11-02,30381-64762-NG,E-D-0.2,5.0
COL-72079-610,2020-07-25,17503-27693-ZH,E-L-0.5,4.0
COV-52659-202,2019-03-14,89442-35633-HJ,L-M-2.5,2.0
CPV-90280-133,2020-07-02,13654-85265-IL,R-D-0.2,3.0
CPW-34587-459,2019-12-17,40946-22090-FP,A-L-2.5,6.0
CPX-19312-088,2020-12-06,29050-93691-TS,L-M-0.5,6.0
CPX-46916-770,2021-03-04,64395-74865-WF,R-L-1,6.0
CQM-49696-263,2021-07-17,81861-66046-SU,L-L-2.5,3.0
CQW-37388-302,2020-11-04,13366-78506-KP,A-D-2.5,3.0
CRK-07584-240,2021-04-05,08847-29858-HN,A-M-1,3.0
CSW-59644-267,2020-03-01,00539-42510-RY,E-M-2.5,1.0
CTE-31437-326,2021-10-19,45190-08727-NV,E-M-0.2,4.0
CTE-31437-326,2022-07-08,87049-37901-FU,L-D-1,4.0
CTE-31437-326,2019-08-17,34015-31593-JC,L-L-0.2,3.0
CTE-31437-326,2020-05-31,90305-50099-SV,R-M-0.2,4.0
CUN-90044-279,2020-05-05,55871-61935-MF,L-D-0.2,4.0
CUU-92244-729,2019-04-14,15405-60469-TM,E-M-1,3.0
CVA-64996-969,2020-07-29,06953-94794-FB,A-L-1,6.0
CVE-15042-481,2019-12-12,22305-40299-CY,R-L-1,2.0
CVP-18956-553,2022-06-15,09020-56774-GU,L-D-1,3.0
CWK-60159-881,2019-06-26,92926-08470-YS,E-D-0.2,3.0
CWT-27056-328,2021-10-12,07250-63194-JO,E-D-0.2,6.0
CXD-74176-600,2019-04-01,63787-96257-TQ,E-L-0.5,4.0
