Order ID,Order Date,Customer ID
QEV-37451-860,9/5/19,17670-51384-MA
FAA-43335-268,6/17/21,21125-22134-PX
KAC-83089-793,7/15/21,23806-46781-OU
CVP-18956-553,8/4/21,86561-91660-RB
IPP-31994-879,1/21/22,65223-29612-CB
SNZ-65340-705,5/20/22,21134-81676-FR
EZT-46571-659,1/2/19,03396-68805-ZC
NWQ-70061-912,9/5/19,61021-27840-ZN
BKK-47233-845,3/8/21,76239-90137-UQ
VQR-01002-970,10/28/20,49315-21985-BB
SZW-48378-399,7/2/22,34136-36674-OM
ITA-87418-783,5/22/20,39396-12890-PE
GNZ-46006-527,4/5/22,95875-73336-RG
FYQ-78248-319,6/7/22,25473-43727-BY
VAU-44387-624,3/20/19,99643-51048-IQ
RDW-33155-159,10/19/19,62173-15287-CU
TDZ-59011-211,6/13/19,57611-05522-ST
IDU-25793-399,12/4/20,76664-37050-DT
NUO-20013-488,12/4/20,03090-88267-BQ
UQU-65630-479,1/22/21,37651-47492-NC
FEO-11834-332,2/11/22,95399-57205-HI
TKY-71558-096,9/15/21,24010-66714-HW
OXY-65322-253,10/24/20,07591-92789-UA
EVP-43500-491,2/20/19,49231-44455-IC
WAG-26945-689,10/8/19,50124-88608-EO
CHE-78995-767,8/2/22,00888-74814-UZ
RYZ-14633-602,2/20/19,14158-30713-OB
WOQ-36015-429,9/25/21,51427-89175-QJ
SCT-60553-454,7/17/21,39123-12846-YJ
GFK-52063-244,6/29/20,44981-99666-XB
AMM-79521-378,6/1/21,24825-51803-CQ
QUQ-90580-772,2/6/21,77634-13918-GJ
LGD-24408-274,4/25/19,13694-25001-LX
HCT-95608-959,4/25/20,08523-01791-TI
OFX-99147-470,11/24/21,49860-68865-AB
LUO-37559-016,4/19/21,21240-83132-SP
XWC-20610-167,7/7/22,08350-81623-TF
GPU-79113-136,5/22/19,73284-01385-SJ
ULR-52653-960,10/4/21,04152-34436-IE
HPI-42308-142,4/11/20,06631-86965-XP
XHI-30227-581,1/31/22,54619-08558-ZU
DJH-05202-380,11/7/19,85589-17020-CX
VMW-26889-781,6/28/19,36078-91009-WU
DBU-81099-586,9/11/20,15770-27099-GX
PQA-54820-810,8/17/22,91460-04823-BX
XKB-41924-202,8/19/22,45089-52817-WN
DWZ-69106-473,5/15/19,76447-50326-IC
YHV-68700-050,9/11/19,26333-67911-OL
KRB-88066-642,3/16/21,22107-86640-SB
LQU-08404-173,12/3/20,09960-34242-LZ
CWK-60159-881,1/27/20,04671-85591-RT
EEG-74197-843,7/17/22,25729-68859-UA
UCZ-59708-525,3/4/22,05501-86351-NX
HUB-47311-849,12/7/21,04521-04300-OK
WYM-17686-694,2/25/21,58689-55264-VK
ZYQ-15797-695,2/25/19,79436-73011-MM
EEJ-16185-108,2/9/19,65552-60476-KY
RWR-77888-800,2/7/20,69904-02729-YS
LHN-75209-742,3/23/20,01433-04270-AX
TIR-71396-998,3/6/22,14204-14186-LA
RXF-37618-213,4/15/22,32948-34398-HC
ANM-16388-634,11/19/21,77343-52608-FF
WYL-29300-070,10/16/19,42770-36274-QA
JHW-74554-805,11/26/19,14103-58987-ZU
KYS-27063-603,6/30/19,69958-32065-SW
GAZ-58626-277,1/4/21,69533-84907-FA
RPJ-37787-335,10/27/20,76005-95461-CI
LEF-83057-763,6/15/21,15395-90855-VB
RPW-36123-215,7/19/21,80640-45811-LB
WLL-59044-117,7/23/21,28476-04082-GR
AWT-22827-563,1/25/20,12018-75670-EU
QLM-07145-668,5/9/19,86437-17399-FK
HVQ-64398-930,3/30/20,62979-53167-ML
WRT-40778-247,3/13/22,54810-81899-HL
SUB-13006-125,4/17/19,26103-41504-IB
CQM-49696-263,10/25/19,76534-45229-SG
KXN-85094-246,9/13/19,81744-27332-RR
XOQ-12405-419,4/12/20,91513-75657-PH
HYF-10254-369,11/14/19,30373-66619-CB
XXJ-47000-307,7/18/19,31582-23562-FM
ZDK-82166-357,4/3/21,81431-12577-VD
IHN-19982-362,3/29/21,68894-91205-MP
VMT-10030-889,12/15/21,87602-55754-VN
NHL-11063-100,5/20/20,39181-35745-WH
ROV-87448-086,11/2/20,30381-64762-NG
DGY-35773-612,7/25/20,17503-27693-ZH
YWH-50638-556,3/14/19,89442-35633-HJ
ISL-11200-600,7/2/20,13654-85265-IL
LBZ-75997-047,12/17/19,40946-22090-FP
EUH-08089-954,12/6/20,29050-93691-TS
BLD-12227-251,3/4/21,64395-74865-WF
OPY-30711-853,7/17/21,81861-66046-SU
DBC-44122-300,11/4/20,13366-78506-KP
FJQ-60035-234,4/5/21,08847-29858-HN
HSF-66926-425,3/1/20,00539-42510-RY
LQG-41416-375,10/19/21,45190-08727-NV
VZO-97265-841,7/8/22,87049-37901-FU
MOR-12987-399,8/17/19,34015-31593-JC
UOA-23786-489,5/31/20,90305-50099-SV
AJL-52941-018,5/5/20,55871-61935-MF
XSZ-84273-421,4/14/19,15405-60469-TM
NUN-48214-216,7/29/20,06953-94794-FB
AKV-93064-769,12/12/19,22305-40299-CY
BRB-40903-533,6/15/22,09020-56774-GU
GPR-19973-483,6/26/19,92926-08470-YS
XIY-43041-882,10/12/21,07250-63194-JO
YGY-98425-969,4/1/19,63787-96257-TQ
